Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 None                       None     383,872  384,309          0         36          152,223    4,228.4    4,224.0     4,064     4,416        101.8  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
 None                       None     383,872  384,309          0         73          110,686    1,516.2    1,504.0     1,280     1,792        118.9  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 None                       None     383,872  384,309          0          1            9,920    9,920.0    9,920.0     9,920     9,920          0.0  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 None                       None     383,872  384,309          0          1            7,936    7,936.0    7,936.0     7,936     7,936          0.0  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
 None                       None     383,872  384,309          0          1            2,656    2,656.0    2,656.0     2,656     2,656          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
 None                       None     383,872  384,309          0          1            2,560    2,560.0    2,560.0     2,560     2,560          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
 None                       None     383,872  384,309          0          1            2,304    2,304.0    2,304.0     2,304     2,304          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 None                       None     383,872  384,309          0          1            1,536    1,536.0    1,536.0     1,536     1,536          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
 None                       None     383,872  384,309          0          1            1,376    1,376.0    1,376.0     1,376     1,376          0.0  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 CCCL:cub::DeviceRadixSort  PushPop  383,872  384,309          1          1            5,760    5,760.0    5,760.0     5,760     5,760          0.0  void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::DeviceRadixSortPolic…
 attention                  PushPop  383,872  383,872         36         36        1,180,024   32,778.4   32,784.0    32,096    33,440        341.4  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 attention                  PushPop  383,872  383,872         36         36          871,993   24,222.0   24,192.0    23,904    25,183        210.4  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 attention                  PushPop  383,872  383,872         36         36          693,531   19,264.8   19,216.0    18,976    19,808        180.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention                  PushPop  383,872  383,872         36         36          578,363   16,065.6   16,031.5    15,808    16,607        181.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention                  PushPop  383,872  383,872         36         36          569,881   15,830.0   15,808.0    15,392    16,416        211.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention                  PushPop  383,872  383,872         36         36          562,364   15,621.2   15,584.0    15,423    15,904        103.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
 attention                  PushPop  383,872  383,872         36         36          413,465   11,485.1   11,456.0    11,072    11,936        224.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
 attention                  PushPop  383,872  383,872         36         36          390,236   10,839.9   10,768.0    10,400    11,680        286.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 attention                  PushPop  383,872  383,872         36         36          325,564    9,043.4    9,088.0     8,448     9,503        228.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 attention                  PushPop  383,872  383,872         36         36          286,400    7,955.6    8,000.0     7,520     8,480        224.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention                  PushPop  383,872  383,872         36         36           56,511    1,569.8    1,536.0     1,344     1,888        133.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 attention_av_matmul        PushPop  383,872  383,872         36         36          871,993   24,222.0   24,192.0    23,904    25,183        210.4  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 attention_av_matmul        PushPop  383,872  383,872         36         36          286,400    7,955.6    8,000.0     7,520     8,480        224.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention_mask             PushPop  383,872  383,872         36         36          578,363   16,065.6   16,031.5    15,808    16,607        181.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention_mask             PushPop  383,872  383,872         36         36           56,511    1,569.8    1,536.0     1,344     1,888        133.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 attention_qk_matmul        PushPop  383,872  383,872         36         36        1,180,024   32,778.4   32,784.0    32,096    33,440        341.4  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 attention_scale            PushPop  383,872  383,872         36         36          390,236   10,839.9   10,768.0    10,400    11,680        286.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 attention_softmax          PushPop  383,872  383,872         36         36          693,531   19,264.8   19,216.0    18,976    19,808        180.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention_softmax          PushPop  383,872  383,872         36         36          569,881   15,830.0   15,808.0    15,392    16,416        211.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 attention_softmax          PushPop  383,872  383,872         36         36          562,364   15,621.2   15,584.0    15,423    15,904        103.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
